Case No,ad_id,terra_indigena,povo,muni,year,report_cat,dem_status,primary_conflict,pc_spec,pc_other,pc_comment,secondary_conflict,sc_spec,sc_other,sc_comment,violence,gov_support,gov_level,gov_spec,counterparty,counterparty_spec,
26,5081,Baú,,,2003,2,.,7,50,judge reduces demarcation size,,9,99,,,2,1,1,,9,,
27,.,Marãiwatsedé,Xavante,Alta Boa Vista | São Félix do Araguaia,2004,2,.,1,11,,,1,11,,,1,2,,,3,,
28,.,.,Guarani-Kaiowá,Japorã,2004,2,.,1,13,,,5,50,weapon smuggle,,9,1,1,,4,indigenous,
29,.,.,.,Iguatemi,2004,2,.,1,14,,,1|5,11|5,farmers blame indegiouns to take land,,9,2,,,4,indigenous,
30,.,All of Brasil,.,.,2004,2,.,5,50,accusation that catholic church supports militant indigenous movements,,9,99,,,2,2,,,2,catholic church,
31,.,,Guarani-Kaiowá,Dourados,2004,2,.,6,50,security was contracted to avoid indios from taking land,,9,99,,,9,2,,,4,indigenous,
32,.,.,.,Guarani-Kaiowá,2004,2,.,9,50,contracting security lead to thread of collective suicide by indigenous,,9,50,collective suicide threat by indigenous,,9,3,1,court was put into place to investigate,9,,
33,5476,Porto Lindo,,,2004,2,.,6,50,confrontation of indigenous and farmers because of supposed stealing of cattle,,10,102,shooting,,1,2,,,4,indigenous,
34,.,.,Guarani-Kaiowá,Tacuru,2004,2,.,1,50,mayor leases indigenous land to farmers,"mayor and members of the indigenous tribe make contract to lease the reservation to farmers, however this procedure is anti-constitutional",9,99,,,2,1,3,the mayor,1,incident got public and superior government reacted,
35,.,.,Guarani-Kaiowá (seven communities),Amambaí,2004,2,.,6,67,,,9,99,,,2,2,,,1,,
36,.,.,Guarani-Kaiowá,Ponta Porã | Amambaí,2004,2,.,6,67,,,9,99,,,1,2,,,1,federal government and police,
37,.,Various:,,,2004,2,.,7,99,,indigenous discuss political progress of demarcation,9,99,,,2,1,1,,9,,
38,.,.,.,Campo Grande,2004,2,.,7,99,,discussion on recompensation of farmers for land,9,99,,,2,1,1,,3,farmers,
39,5098,Caarapó,,,2004,2,.,6,63,,,9,99,,,9,2,,,1,,
40,5148,Dourados,,,2004,2,.,6,50,indigenous are accused to burry dead tribe members on farm land in order to force declaration of indigenous land,,9,99,,,9,2,,,9,,
41,5417,Panambizinho,,,2004,2,.,1,11,,,8,81|88,,,9,2,,,1,,
42,5417,Panambizinho,,,2004,2,.,6,67,,,9,99,,,9,2,,,9,seems to be government and farmers,
43,5097,Buriti,,,2004,2,.,6,67,,,9,99,,,9,2,,,1,,
44,.,.,.,Dourados,2004,2,.,7,50,senator for indigenous rights promises faster solutions,,9,99,,,2,1,1,,9,,
45,5198,Guyraroká,,,2004,2,.,7,72,,,9,99,,,9,2,,,2|4,"Funai, indigenous",
46,5198,Guyraroká,,,2004,2,.,6,63,,,9,99,,,2,2,,,3,farmers,
47,.,.,Guarani-Kaiowá,Caarapó,2004,2,.,6,63,,,9,99,,,2,1,1,Funai,3,,
48,.,.,Guarani-Kaiowá,Caarapó,2004,2,.,6,63,,,9,99,,,2,1,1,Funai,3,,
49,5476,Porto Lindo,,,2004,2,.,7,50,conflict with election,,9,99,,,2,1,1,,9,,
50,.,.,.,Antônio João,2004,2,.,6,63,,,9,99,,,9,2,,,1|3,"police, farmers",
51,.,Guarani-Kaiowá | Ponta Porã,,,2004,2,.,7,71,farmers demonstrate,,9,99,,,9,2,,,9,,
52,.,.,.,In the state of Mato Grosso,2004,2,.,5,50,denunciation by farmers and agriculture NGO,,9,99,,,2,2,,,2,"PF, Cimi",
53,.,.,.,Naviraí,2004,2,.,6,63,,,9,99,,,9,2,,,3,,
54,,.,.,Campo Grande,2004,2,.,7,50,denunciation of legal irregularities,,9,99,,,9,2,,,2,NGO,
55,.,Other: São Paulo in front of the Tribunal Regional Federal de SP,,,2004,2,.,7,71|72,,,9,99,,,9,2,,,1,,
56,5480,Potiguara - Monte Mor,,,2004,2,.,6,67,Funai building occupied by indios,,9,99,,,9,2,,,1,Funai,
57,5120,Cantagalo,,,2004,2,.,7,72,demarcation area was not introduced according to the norms,,1,101,,,1,2,,,1,Funai,
58,.,Pontão,Kaingang,Pontão,2004,2,.,6,63,,,9,99,,,2,2,,,1|2,,
59,5529,Roosevelt,,,2004,2,.,1|4,11|44,,,10,50,"several people died in the conflict, not clear if murder…",,1,2,,,1|4,"government, indios",
60,5491,Raposa Serra do Sol,,,2004,2,.,6,50,indios threaten farmers and population,,1,11,,,9,2,,,3,,
61,5491,Raposa Serra do Sol,,,2004,2,.,9,99,,,9,99,,,9,1,,,9,,
62,5491,Raposa Serra do Sol,,,2004,2,.,1,11,,,2|10,21|22|23|50,death of indios,,1,2,,,3,farmers,
63,5807,Ygua Porã / Yakã Porã,,,2004,2,.,1,50,indigenous comunity was reintegrated,,9,99,,,2,1,3,,3,community,
64,5584,Tarumã / Corveta,,,2004,2,.,9,73,,,9,99,,,2,2,,,1|4,"Funai, indigenous",
65,.,Situadas em SC,Guarani | Kaingang | Xokleng,.,2004,2,.,9,73,,several political entities involved in pro and con,9,99,,,2,1,2,,1|2|4,indigenous,
66,5378,Morro Alto,,,2004,2,.,9,73,,,9,99,,,9,1,1|2,,1|2|4,,
67,5306,Kraholândia,,,2004,2,.,8,81|86,pressure for harvest,,9,99,,,9,2,,,4,indigenous,
68,.,Batedor,Tukano,Jutaí,2005,2,.,4,41,,,10,101,,,1,2,2,,4,indigenous,
69,5695,Barra Velha do Monte Pascoal,,,2005,2,.,1,11|12,,see-saw between farmers & indios,1,11|12,,,9,3,,,3,,
70,5060,Bacurizinho,,,2005,2,.,1,11,,invasion by armed men,10,101|102|107,,,1,2,,,9,,
71,.,In the state of Mato Grosso,Pareci | Nambikawara | Irantxe,.,2005,2,.,1,11|41,,conflicts indio - agrobusiness,9,99,,,9,3,,,9,,
72,.,.,Guarani-Kaiowá,Caarapó,2005,2,.,7,71,protests by indeginous,for the liberation of a prisoner,9,99,,,9,2,,,9,,
73,.,.,Guarani-Kaiowá,Naviraí,2005,2,.,6,63,,,9,99,,,9,2,,,1,PF,
74,.,.,.,Brasília,2005,2,.,6,63,,search for political solution for land conflic,9,99,,,2,3,,,1,,
75,.,,Guarani Nhandeva,Japorá,2005,2,.,2,50,indigenous destroy houses,,9,99,,,9,2,,,9,,
76,.,,Guarani-Kaiowá,Amambaí,2005,2,.,6,67,,,10,104|106,,,1,2,,,1,Funai,
77,.,,Guarani-Kaiowá,Amambaí,2005,2,.,6,67,,,9,99,,,2,2,,,1,Funai,
78,.,.,.,Iguatemi,2005,2,.,9,99,,discussion on demarcation and how to solve problems,9,99,,,2,2,,,9,,
79,5393,Ñande Ru Maranguatu,,,2005,2,.,6,63,,,9,99,,,2,2,,,9,,
80,5393,Ñande Ru Maranguatu,,,2005,2,.,9,99,,statement of politician critical with indigenous,9,99,,,2,2,,,9,,
81,5097,Buriti,,,2005,2,.,1,12,farmers force indios to leave occupied land,,9,99,,,9,2,,,9,,
82,5336,Limão Verde,,,2005,2,.,6,67,,,9,99,,,2,2,,,9,,
83,5602,Terena,,,2005,2,.,6,67,protests by indigenous,,9,99,,,2,2,,,9,,
84,5393,Ñande Ru Maranguatu,,,2005,2,.,7,50,,indigenous sent political letter to president,9,99,,,2,2,,,9,,
85,.,.,.,Brasília,2005,2,.,9,99,,notice on supposed homocide among indigenous,9,99,,,2,2,,,1|2,"government, Funai",
86,5393,Ñande Ru Maranguatu,,,2005,2,.,7,73,court bans register of indigenous land,,9,99,,,2,2,,,9,,
87,.,.,Guarani-Kaiowá,Laguna Carapã,2005,2,.,1,13,,,9,99,,,1,1,4,police,1,police,
88,5097,Buriti,,,2005,2,.,1,13,,,2,23,,,1,1,4,police,1,police,
89,5675,Xukuru,,,2005,2,.,6,61,,,9,99,,,1,2,,,3|4,indigenous and non-indigenous,
90,5491,Raposa Serra do Sol,,,2005,2,.,7,73,,,9,99,,,2,2,,,9,,
91,5491,Raposa Serra do Sol,,,2005,2,.,8,88,,,9,99,,,1,2,,,1,,
92,5491,Raposa Serra do Sol,,,2005,2,.,8,88,,,9,99,,,1,2,,,1,,
93,5491,Raposa Serra do Sol,,,2005,2,.,7,50,political petition against reservations,,9,99,,,2,2,,,9,,
94,5491,Raposa Serra do Sol,,,2005,2,.,7,50,political discussion,,9,99,,,2,2,,,9,,
95,5491,Raposa Serra do Sol,,,2005,2,.,7,50,political discussion,,9,99,,,2,2,,,9,,
96,5491,Raposa Serra do Sol,,,2005,2,.,7,50,political pressure for distribution of lands,,9,99,,,2,2,,,9,,
97,5491,Raposa Serra do Sol,,,2005,2,.,8,88,,,9,99,,,1,2,,,9,,
98,5722,La Klanõ,,,2005,2,.,6,63|67,,,9,99,,,9,2,,,1,,
99,5722,La Klanõ,,,2005,2,.,7,71,,,9,99,,,2,2,,,1,,
100,5523,Rio Pindaré,,,2003,3.1,.,4,44,,,9,99,,,2,2,,,9,,
101,.,.,Kadiwéu,Bodoquena,2003,3.1,.,4,41|44,,,9,99,,,2,2,,,1,PF,
102,5148,Dourados,,,2003,3.1,.,2,21|23,,,9,99,,,9,2,,,1,,
103,5148,Dourados,,,2003,3.1,.,2,21,,,9,99,,,9,2,,,3,,
104,,.,.,Campo Grande,2003,3.1,.,4,50,stealing of goods,,4,50,Funai administrator is accused of corruption and defalcation,,2,2,,,2,Funai,
105,5755,Myky,,,2003,3.1,.,2,22,,,9,99,,,2,2,,,3,,
106,5150,Enawenê-Nawê,,,2003,3.1,.,4,41|42|50,cattle breeding,,9,99,,,9,3,,,3,,
107,5755,Myky,,,2003,3.1,.,4,41,,,9,99,,,9,2,,,9,,
108,5755,Myky,,,2003,3.1,.,4,41,,,9,99,,,9,2,,,9,,
109,,.,Karitaina,Candeias,2003,3.1,.,2,21,,,9,99,,,9,2,,,3,the incident was reported to officials,
110,5645,Uru-Eu-Wau-Wau,,,2003,3.1,,4,41,,,9,99,,,9,2,,,9,"denúncias feitas MPF, Funai",
111,.,Various: in the entire country,,,2004,3.1,.,2,21,arson nationawide in several regions,,9,99,,,9,3,,,9,,
112,5060,Bacurizinho,,,2004,3.1,.,2,21,houses,,9,99,,,1,3,,,9,,
113,.,Various: Terras do Parque Nacional do Xingu,Povo do Xingo,,2004,3.1,.,2,25,,,9,99,,,9,2,,,9,,
114,5648,Valé do Guaporé,,,2004,3.1,.,4,41,,,9,99,,,9,2,,,3,,
115,5648,Valé do Guaporé,,,2004,3.1,.,4,41,,,9,99,,,9,2,,,3,,
116,.,Açaizal,Munduruku,Santarém,2004,3.1,.,2,25,,,4,41|50,planting soy,,9,2,,,3,,
117,5491,Raposa Serra do Sol,,,2004,3.1,.,2,21|22|23,,,5,50,demonstration,,9,2,,,3,,
118,.,Tekoha Mirim Dju,Guarani,Biguaçu,2004,3.1,.,2,22|23,,,9,99,,,2,3,,,9,,
119,5306,Kraholândia,,,2004,3.1,.,4,42,,,9,99,,,2,2,,,9,,
120,.,Various: Nukini | Arara do Alto Juruá,Nukini | Apolima-Arara | Arara | Kaxinawa,,2005,3.1,.,4,42,,,9,99,,,2,2,,,9,,
121,.,Various: Arara do Alto Juruá | Jaminawa do Igarapé Preto | Nukini | Arara do Igarapé Humaitá | Nawa,,Marechal Thaumaturgo | Rodrigues Alves | Mânicio Lima | Cruzeiro do Sul | Taruacá,2005,3.1,.,1,11,,,9,99,,,9,3,,,3,,
122,5116,Various: Campinas | Jaminawa / Arara do Rio Bagé | Kaxinawa Ashaninka do Breu,Katukina | Pano | Arara do Acre | Jaminawa | Kaxinawa,,2005,3.1,.,4,42,,,9,99,,,2,2,,,9,,
123,5209,Igarapé Lourdes,,,2005,3.1,.,1,11,,,4,41,,,9,3,,,3,,
124,5347,Maraã Urubaxi,,,2005,3.1,.,4,43,,,4,41|43,,,9,2,,,3,,
125,5626,Tumbalalá,,,2005,3.1,.,4,50,"money stolen from banc, money was destined for indigenous projects",,9,99,,,9,2,,,9,,
126,.,Various: Cana Brava | Bacurizinho,Grajaú,Guajajara,2005,3.1,.,2,21,,,10,101|104|107,,,1,2,,,9,,
127,5417,Panambizinho,,,2005,3.1,.,2,21,,,9,99,,,9,2,,,3,,
128,5304,Kokue'y (Mosquiteiro),,,2005,3.1,.,4,41,,,2,25,,,2,2,,,3,,
129,5648,Valé do Guaporé,,,2005,3.1,.,4,41,,,9,99,,,2,2,,,3,,
130,5576,Tadarimana,,,2005,3.1,.,2,21,,,9,99,,,9,2,,,1,,
131,5576,Tadarimana,,,2005,3.1,.,4,41,,,9,99,,,2,2,,,3,,
132,5556,Sarauá,,,2005,3.1,.,4,43,,,1,11,,,1,2,,,3,,
133,5680,Zo'é,,,2005,3.1,.,4,41,,,9,99,,,2,2,,,3,,
134,.,Tekoha Mirim Dju,Guarani,Biguaçu,2005,3.1,.,4,41,,,2,25,,,2,2,,,3,,
135,5549,São Marcos,,,2005,3.1,.,1,11,,,9,99,,,9,1,3,,4,indigenous,
136,5030,Apinayé,,,2005,3.1,.,4,43,,,9,99,,,9,1,3,,2,Funai,
137,.,Various: in the entire country,.,.,2005,3.2,.,4,50,Biopiracy: blood collection,,9,99,,,2,2,,,2,Coriel Cell,
138,.,Various: in the entire country,.,.,2005,3.2,.,5,50,stealing of indigenous goods (artesanato),,9,99,,,9,3,,,2,Funai,
139,5491,Raposa Serra do Sol,,,2005,3.2,.,2,25,,,1,11,,,9,2,,,1,,
140,5306,Kraholândia,,,2005,3.2,.,2,25,,,9,99,,,9,3,,,1,,
141,5432,Parque do Araguaia,,,2005,3.2,.,2,25,,,9,99,,,9,3,,,2,Companhia brasileira de Agropecuária - Cobrape,
142,5432,Parque do Araguaia,,,2005,3.2,.,2,25,,,9,99,,,9,3,,,2,,
143,5306,Kraholândia,,,2005,3.2,.,2,25,,,9,99,,,9,3,,,9,,
144,5148,Dourados,,,2005,3.2,.,2,25,,,9,99,,,9,3,,,9,,
145,.,Various: Mato Grosso Estado,,,2005,3.2,.,4,41,forgery of documents to get access to land for deforestation,,1,11,,,2,2,,,2|3,,
146,5435,Parque Indígena do Xingu,,,2005,3.2,.,4,50,Biopiracy,,9,99,,,2,2,,,2,Amazonian Conservation Team (ACT),
147,5138,Comboios,,,2005,3.2,.,2,25,,,9,99,,,2,2,,,9,,
148,5636,Uaça,,,2005,3.2,.,4,41,,,9,99,,,2,3,,,9,,
149,5580,Tapeba,,,2005,3.2,.,1,11,"tourism, real estate and so forth",,9,99,,,2,3,,,9,,
150,.,Various: Land in the North-East,"Tuxá de Rodelas | Tuxá de Ibotirama, Tumbalalá, Kiriri de Muquém do São Francisco | Pankaru | Xocó | Truká and various leaders of indigenous people of Pernambuco, Bahia, Paraíba, Alagoas, Xukuru, Kambiwá, Pankararu, Pankara, Pipipã, Kapinawá, Pataxó, Hã-hã-hãe, Potiguara and Geripankó",,2005,3.3,.,2,25,,,9,99,,,2,3,,,9,,
151,.,Various: Land in Tocantis,Apaniyé | Xerente | Javaé | Karajá | Avá-Canoeiro | Krhô-Kanela | Krahô | Tapirapé | Guarani,,2005,3.3,.,2,25,,,9,99,,,2,3,,,9,,
152,.,Various: Land in Xingu,Povos do Rio Xingo,,2005,3.3,.,2,25,,,5,50,fraud,,2,3,,,9,,
153,.,Various: Larnjal do Jari | Pedra Branca do Amapari,Waiãpi,,2005,3.3,.,8,85,,,9,99,,,2,3,,,1,,
154,5191,Guarani do Araça'i,,,2003-2005,1,1,1,50,indigenous are exiled,,5,50,Funai does not sign the demarcation contract,,2,2,,,1,Funai,
155,5584,Tarumã / Corveta,,,2003-2005,1,1,1,11,,,5,50,Funai does not liberate the demarcation,,2,2,,,1,Funai,
156,.,Monte Pascoal,Pataxó,.,2003-2005,1,1,7,73,Funai does not publish demarcation,,9,99,,,1,2,,,1,Funai,
157,5806,Xacriabá ,,,2003-2005,1,1,7,73,Funai does not publish demarcation,,9,99,,,2,2,,,1,Funai,
158,5102,Cachoeira Seca,,,2003-2005,1,2.1,1,11,,,4,41,,,9,2,,,1,Funai,
159,.,Karuazu,Karuazu,.,2003-2005,1,2.1,7,73,manipulation in the transfer of the demarcation papers to Funai,,9,99,,,2,2,,,1,Funai,
160,5150,Enawenê-Nawê,,,2003-2005,1,2.1,7,73,Funai does not transfer demarcation papers,,9,99,,,2,2,,,1,Funai,
161,5357,Massiambu,,,2003-2005,1,2.1,7,73,Funai does not transfer demarcation papers,,10,105|106,"indios were prohibited access to river, forest…",,1,2,,,1,Funai,
162,5701,Cambirela,,,2003-2005,1,2.1,7,73,demarcation has not been done,,8,81|88,indios were intimidaded by farmers,,2,2,,,1,Funai,
163,.,Yvy Dju Miri,Guarani,.,2003-2005,1,2.1,4,50,cattle breeding on indigenous land,,9,99,,,9,3,,,3,,
164,5283,Kariri-Xocó,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
165,5070,Balaio,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
166,5113,Cajuhiri Atravessado,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
167,5575,Tabocal,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
168,5600,Tenharim Marmelos,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
169,5327,Lagoa Encantada,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
170,5466,Pitaguary,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
171,5062,Baia dos Guató,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
172,5079,Batelão,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
173,5105,Cacique Fontoura,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
174,5750,Manoki,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
175,5055,Arroio-Korá,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
176,5097,Buriti,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
177,5198,Guyraroká,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
178,5103,Cachoeirinha,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
179,5585,Taunay-Ipegue,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
180,5333,Las Casas,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
181,5556,Sarauá,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
182,5674,Xipaia,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
183,5480,Potiguara - Monte Mor,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
184,5084,Boa Vista,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
185,5680,Yvyporã Laranjinha,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
186,5382,Morro dos Cavalos,,,2005,1,2.2,7,73,,,10,105|106,"indios were prohibited access to river, forest…",,9,2,,,1,,
187,5457,Pindoty,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
188,.,Tolodo Imbu,Kaingang,.,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
189,5612,Toldo Pinhal,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
190,5669,Xapecó,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
191,5452,Piaçaguera,,,2005,1,2.2,7,73,,,9,99,,,9,2,,,1,,
192,5383,Moskow,,,2003,1,2.3,7,73,,,9,99,,,9,2,,,1,,
193,5089,Boqueirão,,,2003,1,2.3,7,73,,,9,99,,,9,2,,,1,,
194,5390,Muriru,,,2003,1,2.3,7,73,,,9,99,,,9,2,,,1,,
195,5663,Wai-Wai,,,2003,1,2.3,7,73,,,9,99,,,9,2,,,1,,
196,5238,Jacamim,,,2003,1,2.3,7,73,,,9,99,,,9,2,,,1,,
197,5386,Munduruku,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
198,5148,Diahui,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
199,5315,Kumaru do Lago Ualá,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
200,5326,Lago Jauari,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
201,5334,Lauro Sodré,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
202,5309,Krikati,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
203,5418,Panará,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
204,5525,Rio Urubu,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
205,5515,Rio Jumas,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
206,5558,Sepoti,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
207,5613,Torá,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
208,5014,Alto Tarauacá,,,2004,1,2.3,7,73,,,9,99,,,9,2,,,1,,
209,5491,Raposa Serra do Sol,,,2005,1,2.3,5,50,political pressure,,9,99,,,2,2,,,1,,
210,5059,Awá,,,2005,1,2.3,9,99,,,9,99,,,9,2,,,1,,
211,5350,Marãiwatsedé (Suyamisu),,,2006,2,.,1,11|12,,,9,99,,,9,3,,,1,,
212,5216,Ikpeng,,,2006,2,.,3,31,,,5,50,demonstration,,9,1,1,,1,,
213,5491,Raposa Serra do Sol,,,2006,2,.,1,11,,,9,99,,,9,1,3,,1,,
214,5549,São Marcos,,,2006,2,.,1,11,,,9,99,,,9,1,3,,1,,
215,5335,Ligeiro,,,2006,2,.,1,11|50,leasing of indigenous land,,9,99,,,9,2,,,3,,
216,.,.,Pataxó Hã-Hã-Hãe,.,2007,2,.,1,11|12,,,2,21|23,,,9,2,,,3,,
217,.,Various: entire MT and AP,,,2007,2,.,3,31,,,9,99,,,9,1,1,,1,,
218,5010,Alto Rio Guamá,,,2007,2,.,1,11,,,2,23,,,2,3,,,3,,
219,5038,Apyterewa,,,2007,2,.,1,11,,,9,99,,,9,1,3,,1|3,,
220,5617,Trincheira,,,2007,2,.,1,11,,,9,99,,,1,2,,,3,,
221,5671,Xerente,,,2007,2,.,1,11,,,2,22,,,9,2,,,3,,
222,5155,Espírito Santo,,,2006,3.1,.,1,11,,,9,99,,,9,2,,,3,,
223,5145,Cunhã-Sapucaia,,,2006,3.1,.,1,50,ecotourism company,,9,99,,,2,2,,,2,Eco Tourism Company,
224,5000,Acapori de Cima,,,2006,3.1,.,2,23,,,9,99,,,9,1,1,PM,1,,
225,5112,Cajueiro / Lourdes,,,2006,3.1,.,1,11,,,2,50,kill animals,,1,2,,,3,,
226,.,.,Pataxó,.,2006,3.1,.,2|8,84,threat to destroy indigenous monument,,9,99,,,9,1,1,,1,,
227,5466,Pitaguary,,,2006,3.1,.,1,11,,,9,99,,,1,2,,,3,,
228,.,.,Tremembé,.,2006,3.1,.,3,50,tourist destination,,9,99,,,2,2,,,2,Construction company,
229,5048,Araribóia,,,2006,3.1,.,4,41,,,5,50,natural water shortage,,9,2,,,2|3,organized tree removal,
230,5393,Ñande Ru Maranguatu,,,2006,3.1,.,4,41,,,8,88,,,1,2,,,3,,
231,5393,Ñande Ru Maranguatu,,,2006,3.1,.,2,21,,,1,11,,,9,2,,,3,,
232,5408,Ofayé-Xavante,,,2006,3.1,.,4,41,,,5,50,alcohol,,9,2,,,3,,
233,.,.,Guarani / Guarani Kaiowá,.,2006,3.1,.,1,11,,,9,99,,,1,2,,,3,,
234,5350,Marãiwatsedé (Suyamisu),,,2006,3.1,.,1,11,,,4,44,,,1,2,,,3,,
235,5742,Kayabi,,,2006,3.1,.,4,41,,,9,99,,,9,3,,,3,,
236,5640,Umutina,,,2006,3.1,.,3,34,,,9,99,,,2,2,,,3,,
237,5079,Batelão,,,2006,3.1,.,4,41,,,9,99,,,1,2,,,3,,
238,5426,Parakanã,,,2006,3.1,.,1,11,,,9,99,,,9,2,,,3,,
239,5010,Alto Rio Guamá,,,2006,3.1,.,4,41,,,4,50,"animals, drugs",,9,2,,,3,,
240,5010,Alto Rio Guamá,,,2006,3.1,.,4,42,,,1,11,,,9,3,1|2|3,,3,,
241,5645,Uru-Eu-Wau-Wau,,,2006,3.1,.,1,11,,,1,12,,,1,3,,,2|3,,
242,.,Various: Estado de RO,,,2006,3.1,.,1,11|12,,,2|4,99,,,9,3,,,9,,
243,5491,Raposa Serra do Sol,,,2006,3.1,.,1,11,,,4,50,cattle,,2,2,,,3,,
244,5467,Pium,,,2006,3.1,.,3,31,,,1,50,,,9,3,,,2,,
245,5491,Raposa Serra do Sol,,,2006,3.1,.,1,50,,,9,99,,,2,2,,,3,,
246,5467,Pium,,,2006,3.1,.,1,50,,,8,50,threats,,9,2,,,3,,
