terrai_codigo,terrai_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,data_em_estudo,tit_em_estudo,data_delimitada,tit_delimitada,data_declarada,tit_declarada,data_homologada,tit_homologada,data_regularizada,tit_regularizada
52601,Apurinã do Igarapé Mucuim,Lábrea                                  ,AM,"733,506,121",Regularizada,Tradicionalmente ocupada,2/5/2002,"Portaria nº 92, de 5 de fevereiro de 2002",10/22/2002,"Despacho nº 158, de 22 de outubro de 2002",9/21/2004,"Portaria n° 2582, de 21 de setembro de 2004",12/31/2010,Decreto de 31 de dezembro de 2010,9/21/2011,"Matr. 2.738, Lv. 2-N, Fl. 37"
2701,Apurinã do Igarapé São João,Tapauá                                  ,AM,"182,324,221",Regularizada,Tradicionalmente ocupada,10/2/1997,"Portaria nº 922, de 02 de outubro de 1997",11/29/1999,"Despacho nº 73, de 29 de novembro de 1999",7/25/2000,Portaria MJ nº 615 de 25 de julho de 2000,3/12/2007,Decreto de 12 de março de 2007,5/4/2007,"Matr. R-1-1.143, Lv. 2-F, Fls. 133"
2801,Apurinã Igarapé Tauamirim,Tapauá                                  ,AM,"964,565,072",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto nº 253, de 29 de outubro de 1991",5/31/1990,Matr. R1/613  Lv. 2-D  Fl. 15
2901,Apurinã Km 124 BR-317,"Lábrea, Boca do Acre           ",AM,"421,976,055",Regularizada,Tradicionalmente ocupada,7/13/1982,"Portaria nº 1309, de 13 de julho de 1982",,,4/22/1986,"Portaria nº 2033, de 14 de abril de 1986",10/29/1991,"Decreto nº 251, de 29 de outubro de 1991",12/9/1991,Matr. 1.758  Lv.  2-G  Fl. 79
3002,Apyterewa,São Félix do Xingu                      ,PA,"7,734,700,313",Regularizada,Tradicionalmente ocupada,8/30/1996,"Portaria nº 710, de 30 de Agosto de 1996",6/9/2003,"Despacho nº 53, de 09 de junho de 2003",5/28/1992,"Portaria nº 267, de 28 de Maio de 1992",4/19/2007,Decreto de 19 de abril de 2007,5/8/2007,"Matr. nº 3.291, Lv. 2-RG, Fls. 094vº"
3101,Araçá,Amajari                                 ,RR,"50018,3",Regularizada,Tradicionalmente ocupada,10/21/1977,"Portaria nº 550, de 21 de Outubro de 1977",,,11/6/1981,"Portaria nº 1136, de 06 de Novembro de 1981",2/17/1982,"Decreto nº 86934, de 17 de fevereiro de 1982",11/22/1988,Matr. 9.341  Lv. 2/RG  Fl. 01
67901,Araça'i,Piraquara                               ,PR,0,Em Estudo,Tradicionalmente ocupada,4/14/2010,"Portaria nº 528, de 14 de abril de 2010",,,,,,,,
62101,Aracá-Padauiri,Barcelos                                ,AM,0,Em Estudo,Tradicionalmente ocupada,1/12/2007,"Portaria n° 12, de 12 de janeiro de 2007",,,,,,,,
66401,Arandu-Mirim,Parati                                  ,RJ,0,Em Estudo,Tradicionalmente ocupada,3/5/2008,"Portaria nº 184, de 05 de março de 2008",,,,,,,,
14002,Araponga,Parati,RJ,0,Em Estudo,Tradicionalmente ocupada,3/5/2008,"Portaria n° 184, de 5 de março de 2008",,,,,,,,
3201,Arara,"Medicilândia, Altamira, Brasil Novo, Uruará    ",PA,"274,010,024",Regularizada,Tradicionalmente ocupada,,,,,,,12/24/1991,"Decreto nº 399, de 24 de dezembro de 1991",4/11/2007,"Matr. 1293, Lv. 2-f, Fls.17/v e 18"
60001,Arara da Volta Grande do Xingu,Senador José Porfírio                   ,PA,"255,245,931",Homologada,Tradicionalmente ocupada,10/29/2004,"Portaria nº 1361, de 29 de outubro de 2004",3/31/2006,"Despacho n° 28, de 31 de março de 2006",6/30/2008,"Portaria n° 1233, de 30 de junho de 2008",4/17/2015,Decreto de 17 de abril de 2015,,
3401,Arara do Igarapé Humaitá,"Tarauacá, Porto Walter          ",AC,"875,716,965",Regularizada,Tradicionalmente ocupada,1/26/2000,"Portaria nº 31, de 26 de Janeiro de 2000",12/14/2001,"Despacho nº 111, de 14 de Dezembro de 2001",12/4/2002,"Portaria nº 1761, de 04 de dezembro de 2002",4/18/2006,Decreto de 18 de abril de 2006,8/2/2006,"Matr. 1.085, Lv. 2-E, Fl. 48"
51801,Arara do Rio Amonia,Marechal Thaumaturgo                    ,AC,20534,Declarada,Tradicionalmente ocupada,12/21/2001,"Portaria nº 1.054, de 21 de dezembro de 2001",9/15/2008,"Despacho n° 35/PRES, de 15 de setembro de 2008",9/8/2009,"Portaria nº 2986, de 8 de setembro de 2009",,,,
3301,Arara do Rio Branco,"Aripuanã, Colniza                          ",MT,"1,148,424,748",Regularizada,Tradicionalmente ocupada,9/13/1991,"Portaria nº 1046, de 13 de Setembro de 1991",7/29/1992,"Despacho nº 20, de 27 de Julho de 1992",11/24/1992,"Portaia nº 569, de 24 de Novembro de 1992",12/26/1996,Decreto de 26 de  dezembro de 1996,4/1/1997,Matr. 54.317  Lv. 2-IS  Fl. 191
3501,Araribá,Avaí                                    ,SP,"19,303,369",Regularizada,Tradicionalmente ocupada,11/7/2007,"Portaria n° 1088, de 7 de novembro de 2007",,,,,10/29/1991,"Decreto nº 308, de 29 de outubro de 1991",8/22/1997,Matr. 64.634  Lv. 2-RG  Fl. 001
3601,Arariboia,"Buriticupu, Arame, Amarante do Maranhão, Bom jesus das Selvas, Grajau, Santa Luzia   ",MA,"4,132,880,472",Regularizada,Tradicionalmente ocupada,,,,,,,1/22/1990,"Decreto nº 98.852, de 22 de janeiro de 1990",6/19/1990,Matr. 1.476  Lv. 2-I  Fl. 211
3701,Arary,"Borba, Novo Aripuanã                                  ",AM,40750,Declarada,Tradicionalmente ocupada,1/16/1997,"Portaria nº 53, de 16 de janeiro de 1997",5/8/2008,"Despacho n° 21, de 8 de maio de 2008",8/19/2009,"Portaria nº 2735, de 19 de agosto de 2009",12/17/2015,Decreto de 17 de dezembro de 2015,,
3801,Araweté Igarapé Ipixuna,"Senador José Porfírio, São Felix do Xingu, Altamira               ",PA,"940900,8",Regularizada,Tradicionalmente ocupada,10/15/1979,"Portaria nº 627, de 15 de Outubro de 1979",,,12/28/1992,Portaria Declaratória nº 254 de 28/12/92,1/5/1996,Decreto de 05 de janeiro de 1996,2/9/1996,Matr. 1.485  Lv. 2-H  Fl. 76
73716,Areal,Santa Maria do Para,PA,0,Em Estudo,Tradicionalmente ocupada,8/7/2013,"Portaria nº 959, de 7 de agosto de 2013",,,,,,,,
3901,Areões,Água Boa                                ,MT,218515,Regularizada,Tradicionalmente ocupada,,,,,,,10/2/1996,Decreto de 2 de outubro de 1996,10/18/1996,Matr. 3.562  Lv. 2/RG  Fl. 001/V
3902,Areões,Agua Boa,MT,0,Em Estudo,Tradicionalmente ocupada,10/10/2000,Portaria nº 1054,,,,,,,,
4201,Aripuanã,"Juína, Aripuanã         ",MT,"750,649,265",Regularizada,Tradicionalmente ocupada,,,,,,,12/24/1991,Decreto de 24 de dezembro de 1991,1/22/1992,Matr. 46.633  Lv. 2-GS  Fl. 159V
4301,Ariramba,Manicoré,AM,"103,575,323",Regularizada,Tradicionalmente ocupada,5/31/1996,"Portaria nº 388, de 31 de maio de 1996",4/23/1998,"Despacho nº 20, de 23 de abril de 1998",12/11/1998,"Portaria nº 827, de 11 de dezembro de 1998",12/10/2001,Decreto de 11 de dezembro de 2001,10/5/2004,"Matr. 335, Lv. 2-B, Fl.35"
70801,Arroio do Conde,"Eldorado do Sul , Guaiba",RS,0,Em Estudo,Tradicionalmente ocupada,3/1/2010,"Portaria nº 214, de 01 de março de 2010",,,,,,,,
4401,Arroio-Korá,Paranhos                                ,MS,"71,757,747",Homologada,Tradicionalmente ocupada,1/31/2001,"Portaria nº 83, de 31 de Janeiro de 2001",8/17/2004,"Despacho n° 83, de 17 de agosto de 2004",12/15/2006,"Portaria n° 2363, de 15 de dezembro de 2006",12/21/2009,Decreto de 21 de dezembro de 2009,,
4501,Atikum,"Salgueiro, Belém de São Francisco, Carnaubeira da Penha, Mirandiba",PE,"162,901,893",Regularizada,Tradicionalmente ocupada,6/5/1984,"Portaria nº 1647, 05 de junho de 1984",5/4/1993,"Despacho nº 08, de 04 de maio de 1993",8/17/1993,Portaria nº 314 de 17 de agosto de1993,1/5/1996,Decreto de 05 de janeiro de 1996,1/18/1996,Matr. 1.099  Lv. 2-I  Fl.    26
73725,Auati-Paraná (Santa União),Fonte Boa,AM,0,Em Estudo,Tradicionalmente ocupada,1/23/2015,"Portaria nº 59, de 23 de janeiro de 2015",,,,,,,,
4602,Avá-Canoeiro,"Colinas do Sul, Minaçu                      ",GO,38000,Declarada,Tradicionalmente ocupada,2/24/2003,"Portaria nº 111, de 24 de fevereiro de 2003",9/11/1995,"Despacho nº 89, de 11 de Setembro de 1995",10/2/1996,"Portaria nº 598, de 02 de outubro de 1996",,,,
4701,Avá-Guarani do Ocoí,São Miguel do Iguaçu                    ,PR,"231,887",Regularizada,Reserva Indígena,,,,,,,,,,
4801,Awa,"São João do Carú, Governador Newton Bello, Centro Novo do Maranhão, Ze Doca                  ",MA,"1,165,829,182",Regularizada,Tradicionalmente ocupada,8/9/1985,"Portaria nº 1921, de 09 de agosto de 1985",7/16/1992,"Despacho nº 11, de 16 de Julho de 1992",7/27/1992,Portária nº 373 de 27 de julho de 1992,4/19/2005,Decreto de 19 de abril de 2005,6/2/2008,"Matr. 1.585, Lv. 2-H, Fl. 185"
4902,Bacurizinho,Grajau,MA,134040,Declarada,Tradicionalmente ocupada,8/30/2001,"Portaria nº 725, de 30 Agosto de 2001",10/25/2007,"Despacho n° 84, de 25 de outubro de 2007",6/30/2008,"Portaria n° 1234, de 30 de junho de 2008",,,,
4901,Bacurizinho,Grajau,MA,"824,324,931",Regularizada,Tradicionalmente ocupada,8/30/2001,"Portaria nº 725, de 30 de Agosto de 2001",10/25/2007,"Despacho nº 84, de 25 de Outubro de 2007",6/30/2008,"Portaria nº 1234, de 30 de Junho de 2008",8/9/1983,"Decreto nº 88.600, de 09 de agosto de 1983",1/27/1984,Matr. 3426  Lv. 2-Q-RG  Fl. 07
5001,Badjonkore,"São Félix do Xingu, Cumaru do Norte                    ",PA,"2,219,816,373",Regularizada,Tradicionalmente ocupada,2/16/1998,"Portaria nº 125, de 16 de Fevereiro de 1998",4/9/1999,"Despacho nº 14, de 09 de Abril de 1999",4/20/2001,"Portaria nº 366, de 20 de Abril de 2001",6/23/2003,Decreto de 23 de junho de 2003,8/28/2003,"Matr. 10.681, Lv. -, Fls. -"
5101,Baia dos Guató,"Poconé, Barão de Melgaço                              ",MT,"192,169,606",Declarada,Tradicionalmente ocupada,11/8/2000,"Portaria nº 1145, de 08 de Novembro de 2000",7/16/2003,"Despacho nº 67, de 16 de junho de 2003",5/22/2009,"Portaria nº 1750, de 22 de maio de 2009",,,,
73701,Baixo Seruini,Pauini                                  ,AM,0,Em Estudo,Tradicionalmente ocupada,4/20/2012,"Portaria nº 425, de 20 de abril de 2012",,,,,,,,
73736,Baixo Tumiã,Pauini,AM,0,Em Estudo,Tradicionalmente ocupada,4/20/2012,"Portaria nº 425, de 20 de abril de 2012",,,,,,,,
5201,Bakairi,"Paranatinga, Planalto da Serra                            ",MT,"614,054,605",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto nº 293, de 29 de outubro de 1991",4/8/1987,Matr. 29.146  Lv. 2-CU  Fl. 59V/60
5301,Balaio,São Gabriel da Cachoeira                ,AM,"2,572,814,601",Regularizada,Tradicionalmente ocupada,9/20/2000,"Portaria nº 993, de 20 de setembro de 2000",8/22/2002,"Despacho nº 114, de 22 de agosto de 2002",12/15/2006,"Portaria n° 2364, de 15 de dezembro de 2006",12/21/2009,Decreto de 21 de dezembro de 2009,2/26/2010,"Matr. 1823, L.. 2-10º, Fl. 74"
5402,Banawá,"Lábrea, Camutama, Tapauá          ",AM,"1,926,596,666",Declarada,Tradicionalmente ocupada,,,7/31/2002,"Despacho nº 102, de 31 de julho de 2002",9/21/2004,"Portaria n° 2583, de 21 de setembro de 2004",12/17/2015,Decreto de 17 de dezembro de 2015,,
5501,Barão de Antonina,São Jerônimo da Serra                   ,PR,"3,750,722",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto de nº 285, de 29 de outubro de 1991",7/29/1992,Matr. 5.661  Lv. 2-RG  Fl. 01
5601,Barata Livramento,Alto Alegre                             ,RR,"128,832,701",Regularizada,Tradicionalmente ocupada,,,,,5/19/1982,"Portaria nº 1222, de 19 de maio de 1982",12/10/2001,Decreto de 10 de dezembro de 2001,3/21/2002,"Matr. 23.734, lv.2-RG, Fls.001"
5701,Barra,Muquém de São Francisco                 ,BA,"622,955",Regularizada,Tradicionalmente ocupada,,,,,,,,,,
5801,Barra Velha,Porto Seguro,BA,"8,627,459",Regularizada,Tradicionalmente ocupada,3/21/2006,"Portaria nº 329, de 21 de Março de 2006",2/27/2008,"Despacho nº 04, de 27 de Fevereiro de 2008",9/1/1982,"Portaria nº 1393, de 01 de Setembro de 1982",12/24/1991,Decreto de 24 de dezembro de 1991,2/3/1992,Matr. 14.548  Lv. 2-RG  Fl.    -
5802,Barra Velha do Monte Pascoal,Porto Seguro                            ,BA,52748,Delimitada,Tradicionalmente ocupada,3/21/2006,"Portaria n° 329, de 21 de março de 2006",2/27/2008,"Despacho n° 04, de 27 de fevereiro de 2008",,,,,,
5901,Barreira da Missão,Tefé                                    ,AM,"17,724,237",Regularizada,Dominial Indígena,,,,,,,10/29/1991,"Decreto nº 303, de 29 de outubro de 1991",,
58801,Barreirinha,Paragominas                             ,PA,"2373,8",Regularizada,Tradicionalmente ocupada,,,8/9/2002,"Despacho nº 107, de 09 de agosto de 2002",3/9/2004,"Portaria nº 808, de 09 de março de 2004",4/18/2006,Decreto de 18 de abril de 2006,7/6/2006,"|Matr.6.637, Lv. 2-V, Fl. 196"
52201,Barro Alto,Tonantins                               ,AM,"19,371,679",Regularizada,Tradicionalmente ocupada,6/11/2004,"Portaria nº 732, de 11 de junho de 2004",11/21/2006,"Despacho nº 98,  de 21 de novembro de 2006",8/14/2007,"Portaria n° 1390, de 14 de agosto de 2007",4/19/2011,Decreto s/nº de 19 de abril de 2011,8/26/2011,"Matr. 1.165, Livro 2-G, Fl. 65"
52401,Batelão,"Tabaporã, Nova Canaã do Norte, Juara",MT,117050,Declarada,Tradicionalmente ocupada,5/15/2001,Portaria nº 448 de 15 Maio de 2001,7/16/2003,"Despacho nº 66, de 28 de agosto de 2003",12/14/2007,"Portaria n° 2136, de 14 de dezembro de 2007",,,,
6001,Batovi,Gaúcha do Norte                         ,MT,"51,589,817",Regularizada,Tradicionalmente ocupada,,,6/9/1997,"Despacho nº 28, de 09 de Junho de 1997",10/1/1997,"Portaria Declaratória nº 1026, de 01 de Outubro de 1977",9/8/1998,Decreto de 8 de setembro de 1998,10/7/1998,Matr. 5.356  Lv. 2-AK  Fl. 122
6101,Baú,Altamira                                ,PA,"15,409,301,555",Regularizada,Tradicionalmente ocupada,5/28/2007,"Portaria n° 472, de 28 de maio de 2007",9/20/1991,"Despacho nº 18, de 20 de Setembro de 1991",12/21/1991,"Portaria nº 645, de 21 de Dezembro de 1991",6/19/2008,Decreto de 19 de junho de 2008,7/25/2008,"Matr. 25.602, Lv. 2-AAAD, Fl.197"
6201,Betania,"Santo Antônio do Içá, Tonantins, Amatura             ",AM,"1,227,690,265",Regularizada,Tradicionalmente ocupada,11/20/2012,Portaria Migração,10/14/1991,"Despacho nº 21, de 14 de outubro de 1991",11/25/1991,Portaria nº 599 de 25 de novembro 1991,7/3/1995,Decreto de 03 de julho de 1995,10/10/1995,Certidão - Matr. 107  Lv. 2-B  Fl. 107
58502,Boa Vista,Careiro da Varzea,AM,"3,373,562",Regularizada,Tradicionalmente ocupada,10/9/1998,"Portaria nº 969, de 9 de outubro de 1998",12/21/1999,"Despacho nº 86, de 21 de Dezembro de 1999",8/10/2000,"Portaria nº 680, de 10 de Agosto de 2000",12/11/1998,"Decreto, de 11 de Dezembro de 1998",9/9/2004,"Matr. 249, Lv. 2, Fl. -"
58601,Boa Vista - PR,Laranjeiras do Sul                      ,PR,"73,363,308",Declarada,Tradicionalmente ocupada,11/20/2012,Portaria Migração,8/12/2004,"Despacho n° 78, de 12 de agosto de 2004",10/29/2007,"Portaria n° 1794, de 29 de outubro de 2007",,,,
6302,Boa Vista Sertão do Promirim,Ubatuba                                 ,SP,5420,Delimitada,Tradicionalmente ocupada,7/25/2008,Portaria n° 861/PRES/08,4/22/2013,"Despacho nº 529, de 22 de abril de 2013",,,,,,
6301,Boa Vista Sertão do Promirim,Ubatuba,SP,"9,063,886",Regularizada,Tradicionalmente ocupada,2/1/2007,"Portaria nº 113, de 1 de fevereiro de 2007",4/22/2013,"Despacho nº 529, de 22 de abril de 2013",,,9/26/2000,Decreto de 26 do setembro de 2000,11/7/2000,Matr. 23078  Lv. 2/RG  Fl. 01V
6401,Boca do Acre,"Boca do Acre, Lábrea                                  ",AM,"262,404,231",Regularizada,Tradicionalmente ocupada,,,,,4/14/1986,"Portaria nº 2033, de 14 de Abril de 1986",10/29/1991,"Decreto nº 263, de 29 de outubro de 1991",5/2/1989,Matr. 1.508  Lv. 2-F  Fl. 209
6501,Bom Intento,Benjamin Constant                       ,AM,"1,613,043",Regularizada,Tradicionalmente ocupada,,,,,,,1/5/1996,Decreto de 05 de  janeiro de 1996,1/12/1996,Matr. 586  Lv. 2-3  Fl. 8V
6601,Bom Jesus,Bonfim                                  ,RR,"8,591,271",Regularizada,Tradicionalmente ocupada,3/14/1977,"Portaria nº GM/111, de 14 de março de 1977",,,,,10/29/1991,"Decreto nº 257, de 29 de outubro de 1991",8/23/1988,Matr. 9.176  Lv. 2/RG  Fl. 01V
6701,Boqueirão,Alto Alegre                             ,RR,"163,540,776",Regularizada,Tradicionalmente ocupada,3/13/1997,"Portaria nº  257, de 13 de março de 1997",11/9/1998,"Despacho nº 71, de 9 de novembro de 1998",5/21/1982,"Portaria nº 1228, de 21 de Maio de 1982",6/6/2003,Decreto de 06 de junho de 2003,3/8/2005,"Matr. 28.247, Lv. 2-RG, Fl. 001"
66501,Boqueirão-MS,Paranhos                                ,MS,0,Em Estudo,Tradicionalmente ocupada,8/22/2011,"Portaria nº 1236, de 22 de agosto de 2011",,,,,,,,
51901,Borari de Alter do Chão,Santarém                                ,PA,0,Em Estudo,Tradicionalmente ocupada,7/4/2008,"Portaria n° 776, de 4 de julho de 2008",,,,,,,,
